Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

O				PRODUCTION RXS		INT RX RATE	TP = 1.26e+14

  R458	O(1D)	+ N2		= O	+ N2		7.521911e+13
  R454	O(1D)	+ CO2		= CO2	+ O		2.995086e+13
  P3	O3			= O2	+ O		1.778950e+13
  P36	CO2			= CO	+ O		2.967661e+12
  P8	NO2			= NO	+ O		1.815524e+11
  P1	O2			= O	+ O		9.227994e+10 (x2)
  P2	O2			= O	+ O(1D)		6.534374e+10
  P10	NO3			= NO2	+ O		1.263357e+10
  P5	HO2			= O	+ OH		1.167335e+10
  R464	O(1D)	+ O2		= O	+ O2		2.601443e+09
  R181	H	+ HO2		= O	+ H2O		2.497940e+09
  P46	SO2			= SO	+ O		1.675605e+09
  R6	C	+ O2		= CO	+ O		4.181657e+08
  P35	CO			= C	+ O		4.181657e+08
  P51	SO			= S	+ O		4.518233e+07
  R536	S	+ O2		= SO	+ O		3.888069e+07
  R526	OH	+ OH		= H2O	+ O		5.979674e+06
  R544	SO	+ O2		= SO2	+ O		4.129733e+06
  R466	O(1D)	+ O3		= O2	+ O	+ O	2.835553e+06 (x2)
  P13	N2O5			= NO3	+ NO	+ O	2.325199e+06
  P49	HSO			= HS	+ O		7.388850e+05
  P16	HNO3			= HNO2	+ O		6.218503e+05
  P44	NO			= N	+ O		1.592858e+05
  R291	N	+ NO		= O	+ N2		1.053237e+05
  T1	O3			= O2	+ O		6.304148e+04
  P30	SO3			= SO2	+ O		1.009946e+04
  R293	N	+ O2		= NO	+ O		7.957512e+02
  R292	N	+ NO2		= N2O	+ O		7.884460e+02
  T44	HSO2			= O	+ HSO		5.906322e+02
  R562	SO21	+ O2		= O	+ SO3		1.414888e-02
  R332	NO	+ C		= CN	+ O		6.477835e-03
  R352	NO	+ CNO		= CO	+ N2	+ O	1.073084e-03
  R644	NH2	+ OH		= NH3	+ O		3.448808e-05
  R478	OH	+ C2H		= C2H2	+ O		4.389156e-06
  R341	NO	+ CH		= O	+ HCN		4.351142e-06
  R307	NH	+ O2		= O	+ HNO		1.910717e-06
  R509	OH	+ CNO		= HCNO	+ O		5.598349e-09
  R164	H	+ CNO		= HCN	+ O		7.385184e-10
  R174	H	+ HNO		= NH2	+ O		7.846648e-11
  R507	OH	+ CN		= O	+ HCN		4.538926e-11
  R40	NH	+ OH		= NH2	+ O		6.396798e-14
  T4	N2O			= N2	+ O		3.651359e-21
  R540	CS	+ O2		= OCS	+ O		1.063899e-24
  T5	NO2			= NO	+ O		1.446972e-30
  R187	H	+ NO		= NH	+ O		3.275784e-42
  T41	SO3			= SO2	+ O		3.367404e-43

O				LOSS RXS		INT RX RATE	TL = 1.26e+14

  M35	O	+ O2		= O3			1.231443e+14
  R441	O	+ HO2		= OH	+ O2		2.234274e+12
  M34	O	+ O		= O2			2.615671e+11 (x2)
  R445	O	+ OH		= O2	+ H		2.497391e+11
  R442	O	+ NO2		= NO	+ O2		8.197152e+10
  M32	O	+ NO		= NO2			7.028977e+10
  M31	O	+ CO		= CO2			5.474961e+10
  M33	O	+ NO2		= NO3			1.530785e+10
  R439	O	+ HNO		= OH	+ NO		5.777647e+09
  R444	O	+ O3		= O2	+ O2		3.575465e+09
  R428	O	+ CHO2		= CO2	+ OH		2.762421e+09
  M16	H	+ O		= OH			1.998676e+09
  R426	O	+ CHO		= CO	+ OH		7.197029e+08
  R427	O	+ CHO		= CO2	+ H		7.197029e+08
  R443	O	+ NO3		= NO2	+ O2		4.982766e+08
  R433	O	+ H2		= H	+ OH		2.949652e+08
  M46	SO	+ O		= SO2			2.528362e+08
  R413	O	+ CH2O		= CHO	+ OH		1.335463e+08
  R434	O	+ H2O2		= OH	+ HO2		4.472116e+07
  R266	HS	+ O		= H	+ SO		2.133394e+07
  M49	SO2	+ O		= SO3			2.034532e+07
  R402	O	+ C2H5		= C2H5O			1.113454e+07
  R403	O	+ C2H5		= C2H4O	+ H		1.076765e+07
  R424	O	+ CH4O		= CH3O	+ OH		6.111584e+06
  R274	HSO3	+ O		= OH	+ SO3		5.661163e+06
  R415	O	+ CH3		= CH2O	+ H		4.932941e+06
  R578	HSO	+ O		= OH	+ SO		3.994972e+06
  R401	O	+ C2H4O		= C2H3O	+ OH		2.888566e+06
  R419	O	+ CH3O		= CH2O	+ OH		2.682113e+06
  R405	O	+ C2H5		= CH2O	+ CH3		2.161625e+06
  R416	O	+ CH3		= CO	+ H2	+ H	2.015459e+06
  R423	O	+ CH4		= CH3	+ OH		1.138781e+06
  R404	O	+ C2H5		= C2H4	+ OH		1.113454e+06
  R420	O	+ CH3O		= CH3	+ O2		9.578973e+05
  R406	O	+ C2H6		= C2H5	+ OH		2.934360e+05
  R398	O	+ C2H4		= CH3	+ CHO		2.185487e+05
  R400	O	+ C2H4		= CH2O	+ CH2		1.783920e+05
  R231	H2S	+ O		= OH	+ HS		1.448438e+05
  R396	O	+ C2H4		= C2H3O	+ H		8.754173e+04
  R440	O	+ HNO4		= HNO3	+ O2		7.499965e+04
  M26	N	+ O		= NO			1.319854e+04
  R399	O	+ C2H4		= C2H2O	+ H2		1.250596e+04
  R408	O	+ CH		= CO	+ H		5.273402e+03
  R411	O	+ CH2		= CO	+ H	+ H	3.206911e+03
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	2.836850e+03
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	2.082708e+03
