# Wavelength     HSO3- Molar Decadic Absorption Coefficient 
#  (nm)   (M$^{-1}$cm$^{-1}$)
345.00 0.000000e+00
346.00 0.000000e+00
347.00 0.000000e+00
348.00 0.000000e+00
349.00 0.000000e+00
350.00 0.000000e+00
351.00 0.000000e+00
352.00 0.000000e+00
353.00 0.000000e+00
354.00 0.000000e+00
355.00 0.000000e+00
356.00 0.000000e+00
357.00 0.000000e+00
358.00 0.000000e+00
359.00 0.000000e+00
360.00 0.000000e+00
361.00 0.000000e+00
362.00 0.000000e+00
363.00 0.000000e+00
364.00 0.000000e+00
365.00 0.000000e+00
366.00 0.000000e+00
367.00 0.000000e+00
368.00 0.000000e+00
369.00 0.000000e+00
370.00 0.000000e+00
371.00 0.000000e+00
372.00 0.000000e+00
373.00 0.000000e+00
374.00 0.000000e+00
375.00 0.000000e+00
376.00 0.000000e+00
377.00 0.000000e+00
378.00 0.000000e+00
379.00 0.000000e+00
380.00 0.000000e+00
