Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

O				PRODUCTION RXS		INT RX RATE	TP = 5.68e+13

  R458	O(1D)	+ N2		= O	+ N2		3.232936e+13
  R454	O(1D)	+ CO2		= CO2	+ O		1.286920e+13
  P3	O3			= O2	+ O		7.447422e+12
  P36	CO2			= CO	+ O		2.972294e+12
  P8	NO2			= NO	+ O		8.450909e+11
  P1	O2			= O	+ O		8.814308e+10 (x2)
  P2	O2			= O	+ O(1D)		6.513899e+10
  P10	NO3			= NO2	+ O		3.524234e+10
  P46	SO2			= SO	+ O		9.727769e+09
  P5	HO2			= O	+ OH		7.100552e+09
  P51	SO			= S	+ O		2.265496e+09
  R464	O(1D)	+ O2		= O	+ O2		1.310969e+09
  R6	C	+ O2		= CO	+ O		4.180774e+08
  P35	CO			= C	+ O		4.180774e+08
  R181	H	+ HO2		= O	+ H2O		2.301929e+08
  P13	N2O5			= NO3	+ NO	+ O	8.413205e+07
  R536	S	+ O2		= SO	+ O		4.741655e+07
  P16	HNO3			= HNO2	+ O		5.934135e+06
  P49	HSO			= HS	+ O		2.711370e+06
  R526	OH	+ OH		= H2O	+ O		2.431566e+06
  P44	NO			= N	+ O		1.871407e+06
  R291	N	+ NO		= O	+ N2		1.720454e+06
  R544	SO	+ O2		= SO2	+ O		8.662499e+05
  R466	O(1D)	+ O3		= O2	+ O	+ O	6.358789e+05 (x2)
  P30	SO3			= SO2	+ O		5.383803e+04
  R292	N	+ NO2		= N2O	+ O		1.859504e+04
  T44	HSO2			= O	+ HSO		2.561973e+03
  R293	N	+ O2		= NO	+ O		1.459426e+03
  T1	O3			= O2	+ O		2.440090e+02
  R562	SO21	+ O2		= O	+ SO3		4.801670e-02
  R332	NO	+ C		= CN	+ O		1.722757e-02
  R352	NO	+ CNO		= CO	+ N2	+ O	3.357955e-03
  R644	NH2	+ OH		= NH3	+ O		2.306615e-04
  R341	NO	+ CH		= O	+ HCN		5.597945e-05
  R307	NH	+ O2		= O	+ HNO		8.401904e-06
  R478	OH	+ C2H		= C2H2	+ O		8.656987e-07
  R174	H	+ HNO		= NH2	+ O		4.848195e-10
  R509	OH	+ CNO		= HCNO	+ O		3.738231e-10
  R164	H	+ CNO		= HCN	+ O		1.207799e-10
  R507	OH	+ CN		= O	+ HCN		6.060557e-12
  R40	NH	+ OH		= NH2	+ O		2.127085e-15
  T4	N2O			= N2	+ O		1.052879e-21
  R540	CS	+ O2		= OCS	+ O		6.406305e-25
  T5	NO2			= NO	+ O		1.320773e-32
  R187	H	+ NO		= NH	+ O		2.825207e-41
  T41	SO3			= SO2	+ O		1.434523e-43

O				LOSS RXS		INT RX RATE	TL = 5.68e+13

  M35	O	+ O2		= O3			5.277615e+13
  R441	O	+ HO2		= OH	+ O2		1.930764e+12
  M32	O	+ NO		= NO2			6.396305e+11
  R442	O	+ NO2		= NO	+ O2		5.418593e+11
  R445	O	+ OH		= O2	+ H		2.480819e+11
  M34	O	+ O		= O2			2.178952e+11 (x2)
  M33	O	+ NO2		= NO3			9.291435e+10
  R439	O	+ HNO		= OH	+ NO		5.380210e+10
  M31	O	+ CO		= CO2			2.772590e+10
  R428	O	+ CHO2		= CO2	+ OH		7.483277e+09
  M16	H	+ O		= OH			2.457668e+09
  R444	O	+ O3		= O2	+ O2		1.198132e+09
  M46	SO	+ O		= SO2			8.107071e+08
  R433	O	+ H2		= H	+ OH		7.793712e+08
  R443	O	+ NO3		= NO2	+ O2		7.702286e+08
  R426	O	+ CHO		= CO	+ OH		6.174556e+08
  R427	O	+ CHO		= CO2	+ H		6.174556e+08
  M49	SO2	+ O		= SO3			6.785362e+07
  R413	O	+ CH2O		= CHO	+ OH		2.932637e+07
  R415	O	+ CH3		= CH2O	+ H		2.287175e+07
  R266	HS	+ O		= H	+ SO		1.748058e+07
  R274	HSO3	+ O		= OH	+ SO3		1.487763e+07
  R402	O	+ C2H5		= C2H5O			1.161568e+07
  R403	O	+ C2H5		= C2H4O	+ H		1.045591e+07
  R416	O	+ CH3		= CO	+ H2	+ H	9.344742e+06
  R401	O	+ C2H4O		= C2H3O	+ OH		3.791581e+06
  R405	O	+ C2H5		= CH2O	+ CH3		2.099044e+06
  R578	HSO	+ O		= OH	+ SO		1.848270e+06
  R423	O	+ CH4		= CH3	+ OH		1.579759e+06
  R424	O	+ CH4O		= CH3O	+ OH		1.533945e+06
